TAX,ASSESSED
COUNTY,36300
VILLAGE,36300
SCHOOL,34470
COUNTY,24000
VILLAGE,24000
SCHOOL,22170
COUNTY,15500
VILLAGE,15500
SCHOOL,13670
COUNTY,19600
VILLAGE,19600
SCHOOL,17770
COUNTY,22000
VILLAGE,22000
SCHOOL,20170
COUNTY,38225
VILLAGE,38225
SCHOOL,38225
COUNTY,20500
VILLAGE,20500
SCHOOL,18670
COUNTY,15800
VILLAGE,15800
SCHOOL,15800
COUNTY,18400
VILLAGE,18400
SCHOOL,16570
COUNTY,56325
VILLAGE,56325
SCHOOL,56325
COUNTY,27500
VILLAGE,27500
SCHOOL,25670
COUNTY,20000
VILLAGE,20000
SCHOOL,20000
COUNTY,23575
VILLAGE,23575
SCHOOL,21745
COUNTY,30200
VILLAGE,30200
SCHOOL,30200
COUNTY,22000
VILLAGE,22000
SCHOOL,20170
COUNTY,11475
VILLAGE,11475
SCHOOL,10735
COUNTY,2400
VILLAGE,2400
SCHOOL,2400
COUNTY,22875
VILLAGE,22875
SCHOOL,22875
COUNTY,20885
VILLAGE,20885
SCHOOL,20885
COUNTY,30000
VILLAGE,30000
SCHOOL,30000
COUNTY,29950
VILLAGE,29950
SCHOOL,29950
COUNTY,39000
VILLAGE,39000
SCHOOL,39000
COUNTY,43000
VILLAGE,43000
SCHOOL,43000
COUNTY,41375
VILLAGE,41375
SCHOOL,39545
COUNTY,28500
VILLAGE,28500
SCHOOL,28500
COUNTY,22317
VILLAGE,22317
SCHOOL,22170
COUNTY,30100
VILLAGE,30100
SCHOOL,28270
COUNTY,17250
VILLAGE,17250
SCHOOL,15420
COUNTY,15150
VILLAGE,15150
SCHOOL,13320
COUNTY,20000
VILLAGE,20000
SCHOOL,20000
COUNTY,24550
VILLAGE,24550
SCHOOL,24550
COUNTY,21500
VILLAGE,21500
SCHOOL,19670
COUNTY,17300
VILLAGE,17300
SCHOOL,15470
COUNTY,17700
VILLAGE,17700
SCHOOL,15870
COUNTY,23300
VILLAGE,23300
SCHOOL,21470
COUNTY,29575
VILLAGE,29575
SCHOOL,27745
COUNTY,24650
VILLAGE,24650
SCHOOL,23320
COUNTY,19350
VILLAGE,19350
SCHOOL,17520
COUNTY,20550
VILLAGE,20550
SCHOOL,18720
COUNTY,23075
VILLAGE,23075
SCHOOL,23075
COUNTY,347800
VILLAGE,347800
SCHOOL,347800
COUNTY,59850
VILLAGE,59850
SCHOOL,59850
COUNTY,16300
VILLAGE,16300
SCHOOL,14470
COUNTY,32550
VILLAGE,32550
SCHOOL,32550
COUNTY,27697
VILLAGE,27697
SCHOOL,25867
COUNTY,16600
VILLAGE,16600
SCHOOL,14770
COUNTY,238355
VILLAGE,238355
SCHOOL,238355
COUNTY,72500
VILLAGE,72500
SCHOOL,72500
COUNTY,59400
VILLAGE,59400
SCHOOL,59400
COUNTY,38400
VILLAGE,38400
SCHOOL,38400
COUNTY,21300
VILLAGE,21300
SCHOOL,21300
COUNTY,20300
VILLAGE,20300
SCHOOL,20300
COUNTY,0
VILLAGE,0
SCHOOL,0
COUNTY,56851
VILLAGE,56851
SCHOOL,56851
COUNTY,20700
VILLAGE,20700
SCHOOL,20700
COUNTY,28075
VILLAGE,28075
SCHOOL,28075
COUNTY,52261
VILLAGE,52261
SCHOOL,52261
COUNTY,7278
VILLAGE,7278
SCHOOL,7131
COUNTY,8852
VILLAGE,8852
SCHOOL,7022
COUNTY,7973
VILLAGE,7973
SCHOOL,7973
COUNTY,7973
VILLAGE,7973
SCHOOL,7973
COUNTY,9874
VILLAGE,9874
SCHOOL,8044
COUNTY,8404
VILLAGE,8404
SCHOOL,7584
COUNTY,7863
VILLAGE,7863
SCHOOL,6033
COUNTY,6632
VILLAGE,6632
SCHOOL,6632
COUNTY,5497
VILLAGE,5497
SCHOOL,3667
COUNTY,5497
VILLAGE,5497
SCHOOL,5497
COUNTY,4122
VILLAGE,4122
SCHOOL,4122
COUNTY,4122
VILLAGE,4122
SCHOOL,4122
COUNTY,8447
VILLAGE,8447
SCHOOL,8447
COUNTY,8261
VILLAGE,8261
SCHOOL,8261
COUNTY,8278
VILLAGE,8278
SCHOOL,6448
COUNTY,7879
VILLAGE,7879
SCHOOL,6049
COUNTY,7069
VILLAGE,7069
SCHOOL,7069
COUNTY,6728
VILLAGE,6728
SCHOOL,6728
COUNTY,8278
VILLAGE,8278
SCHOOL,8278
COUNTY,7879
VILLAGE,7879
SCHOOL,7879
COUNTY,7464
VILLAGE,7464
SCHOOL,5634
COUNTY,7264
VILLAGE,7264
SCHOOL,7264
COUNTY,6108
VILLAGE,6108
SCHOOL,4278
COUNTY,6108
VILLAGE,6108
SCHOOL,4278
COUNTY,4811
VILLAGE,4811
SCHOOL,2981
COUNTY,4579
VILLAGE,4579
SCHOOL,2749
COUNTY,7771
VILLAGE,7771
SCHOOL,7771
COUNTY,7464
VILLAGE,7464
SCHOOL,7464
COUNTY,8638
VILLAGE,8638
SCHOOL,8638
COUNTY,8222
VILLAGE,8222
SCHOOL,8222
COUNTY,7422
VILLAGE,7422
SCHOOL,7422
COUNTY,7065
VILLAGE,7065
SCHOOL,5235
COUNTY,8638
VILLAGE,8638
SCHOOL,6808
COUNTY,8222
VILLAGE,8222
SCHOOL,8222
COUNTY,8182
VILLAGE,8182
SCHOOL,6352
COUNTY,7579
VILLAGE,7579
SCHOOL,7579
COUNTY,6414
VILLAGE,6414
SCHOOL,4584
COUNTY,6414
VILLAGE,6414
SCHOOL,4584
COUNTY,5052
VILLAGE,5052
SCHOOL,5052
COUNTY,4808
VILLAGE,4808
SCHOOL,4808
COUNTY,8109
VILLAGE,8109
SCHOOL,8109
COUNTY,7789
VILLAGE,7789
SCHOOL,7789
COUNTY,120400
VILLAGE,120400
SCHOOL,120400
COUNTY,94350
VILLAGE,94350
SCHOOL,94350
COUNTY,225330
VILLAGE,225330
SCHOOL,225330
COUNTY,81000
VILLAGE,81000
SCHOOL,81000
COUNTY,365676
VILLAGE,365676
SCHOOL,225083
COUNTY,210000
VILLAGE,210000
SCHOOL,210000
COUNTY,30400
VILLAGE,30400
SCHOOL,30400
