TAX,ASSESSED
COUNTY,30100
VILLAGE,30100
SCHOOL,28270
COUNTY,18600
VILLAGE,18600
SCHOOL,16770
COUNTY,20600
VILLAGE,20600
SCHOOL,20600
COUNTY,16575
VILLAGE,16575
SCHOOL,14745
COUNTY,16725
VILLAGE,16725
SCHOOL,16725
COUNTY,21000
VILLAGE,21000
SCHOOL,21000
COUNTY,30500
VILLAGE,30500
SCHOOL,30500
COUNTY,22550
VILLAGE,22550
SCHOOL,20720
COUNTY,18600
VILLAGE,18600
SCHOOL,18600
COUNTY,4000
VILLAGE,4000
SCHOOL,4000
COUNTY,19900
VILLAGE,19900
SCHOOL,18070
COUNTY,16000
VILLAGE,16000
SCHOOL,14170
COUNTY,19100
VILLAGE,19100
SCHOOL,19100
COUNTY,18900
VILLAGE,18900
SCHOOL,18900
COUNTY,21000
VILLAGE,21000
SCHOOL,19170
COUNTY,19350
VILLAGE,19350
SCHOOL,17520
COUNTY,16800
VILLAGE,16800
SCHOOL,16800
COUNTY,21850
VILLAGE,21850
SCHOOL,20020
COUNTY,18000
VILLAGE,18000
SCHOOL,18000
COUNTY,18900
VILLAGE,18900
SCHOOL,18900
COUNTY,23850
VILLAGE,23850
SCHOOL,23850
COUNTY,19850
VILLAGE,19850
SCHOOL,18020
COUNTY,31375
VILLAGE,31375
SCHOOL,31375
COUNTY,21200
VILLAGE,21200
SCHOOL,19370
COUNTY,21250
VILLAGE,21250
SCHOOL,21250
COUNTY,24500
VILLAGE,24500
SCHOOL,24500
COUNTY,18850
VILLAGE,18850
SCHOOL,18850
COUNTY,20900
VILLAGE,20900
SCHOOL,20900
COUNTY,19100
VILLAGE,19100
SCHOOL,17270
COUNTY,20600
VILLAGE,20600
SCHOOL,20600
COUNTY,24250
VILLAGE,24250
SCHOOL,24250
COUNTY,21600
VILLAGE,21600
SCHOOL,21600
COUNTY,19500
VILLAGE,19500
SCHOOL,17670
COUNTY,19350
VILLAGE,19350
SCHOOL,17520
COUNTY,24175
VILLAGE,24175
SCHOOL,22345
COUNTY,14900
VILLAGE,14900
SCHOOL,13070
COUNTY,17500
VILLAGE,17500
SCHOOL,15670
COUNTY,20275
VILLAGE,20275
SCHOOL,18445
COUNTY,20000
VILLAGE,20000
SCHOOL,18170
COUNTY,17900
VILLAGE,17900
SCHOOL,17900
COUNTY,11300
VILLAGE,11300
SCHOOL,9470
COUNTY,14100
VILLAGE,14100
SCHOOL,14100
COUNTY,14200
VILLAGE,14200
SCHOOL,12370
COUNTY,17600
VILLAGE,17600
SCHOOL,17600
COUNTY,14000
VILLAGE,14000
SCHOOL,12170
COUNTY,13790
VILLAGE,13790
SCHOOL,11010
COUNTY,14375
VILLAGE,14375
SCHOOL,12545
COUNTY,14800
VILLAGE,14800
SCHOOL,12970
COUNTY,12150
VILLAGE,12150
SCHOOL,10320
COUNTY,11350
VILLAGE,11350
SCHOOL,9520
COUNTY,13675
VILLAGE,13675
SCHOOL,11845
COUNTY,4500
VILLAGE,4500
SCHOOL,4500
COUNTY,21200
VILLAGE,21200
SCHOOL,19370
COUNTY,3900
VILLAGE,3900
SCHOOL,3900
COUNTY,15000
VILLAGE,15000
SCHOOL,13170
COUNTY,11025
VILLAGE,11025
SCHOOL,11025
COUNTY,12750
VILLAGE,12750
SCHOOL,10920
COUNTY,14000
VILLAGE,14000
SCHOOL,14000
COUNTY,14850
VILLAGE,14850
SCHOOL,13020
COUNTY,17100
VILLAGE,17100
SCHOOL,15270
COUNTY,13900
VILLAGE,13900
SCHOOL,12070
COUNTY,9300
VILLAGE,9300
SCHOOL,7470
COUNTY,15600
VILLAGE,15600
SCHOOL,13770
COUNTY,11500
VILLAGE,11500
SCHOOL,7710
COUNTY,12300
VILLAGE,12300
SCHOOL,10470
COUNTY,13600
VILLAGE,13600
SCHOOL,11770
COUNTY,19800
VILLAGE,19800
SCHOOL,17970
COUNTY,18500
VILLAGE,18500
SCHOOL,16670
COUNTY,21550
VILLAGE,21550
SCHOOL,21550
COUNTY,19750
VILLAGE,19750
SCHOOL,17920
COUNTY,17600
VILLAGE,17600
SCHOOL,15770
COUNTY,17700
VILLAGE,17700
SCHOOL,15870
COUNTY,15325
VILLAGE,15325
SCHOOL,15325
COUNTY,12200
VILLAGE,12200
SCHOOL,10370
COUNTY,9150
VILLAGE,9150
SCHOOL,9150
COUNTY,10000
VILLAGE,10000
SCHOOL,8170
COUNTY,15400
VILLAGE,15400
SCHOOL,13570
COUNTY,2900
VILLAGE,2900
SCHOOL,2900
COUNTY,11450
VILLAGE,11450
SCHOOL,9620
COUNTY,11200
VILLAGE,11200
SCHOOL,9370
COUNTY,21375
VILLAGE,21375
SCHOOL,21375
COUNTY,18400
VILLAGE,18400
SCHOOL,18400
COUNTY,16700
VILLAGE,16700
SCHOOL,16700
COUNTY,18200
VILLAGE,18200
SCHOOL,16370
COUNTY,20100
VILLAGE,20100
SCHOOL,20100
COUNTY,24400
VILLAGE,24400
SCHOOL,24400
COUNTY,11450
VILLAGE,11450
SCHOOL,9620
COUNTY,15000
VILLAGE,15000
SCHOOL,15000
COUNTY,7200
VILLAGE,7200
SCHOOL,8410
COUNTY,17150
VILLAGE,17150
SCHOOL,17150
COUNTY,16100
VILLAGE,16100
SCHOOL,14270
COUNTY,10790
VILLAGE,10790
SCHOOL,8010
COUNTY,17600
VILLAGE,17600
SCHOOL,17600
COUNTY,14600
VILLAGE,14600
SCHOOL,12770
COUNTY,18800
VILLAGE,18800
SCHOOL,16970
COUNTY,13375
VILLAGE,13375
SCHOOL,11545
COUNTY,13800
VILLAGE,13800
SCHOOL,11970
COUNTY,16725
VILLAGE,16725
SCHOOL,14895
COUNTY,21100
VILLAGE,21100
SCHOOL,21100
COUNTY,22200
VILLAGE,22200
SCHOOL,20370
COUNTY,15850
VILLAGE,15850
SCHOOL,14020
COUNTY,21149
VILLAGE,21149
SCHOOL,23695
COUNTY,19100
VILLAGE,19100
SCHOOL,15310
COUNTY,15900
VILLAGE,15900
SCHOOL,12110
COUNTY,20925
VILLAGE,20925
SCHOOL,20925
COUNTY,20500
VILLAGE,20500
SCHOOL,18670
COUNTY,19150
VILLAGE,19150
SCHOOL,17320
COUNTY,17450
VILLAGE,17450
SCHOOL,15620
COUNTY,14500
VILLAGE,14500
SCHOOL,12670
COUNTY,16500
VILLAGE,16500
SCHOOL,16500
COUNTY,16725
VILLAGE,16725
SCHOOL,14895
COUNTY,10750
VILLAGE,10750
SCHOOL,8920
COUNTY,16050
VILLAGE,16050
SCHOOL,14220
COUNTY,26700
VILLAGE,26700
SCHOOL,24870
COUNTY,13250
VILLAGE,13250
SCHOOL,11420
COUNTY,17400
VILLAGE,17400
SCHOOL,15570
COUNTY,15100
VILLAGE,15100
SCHOOL,11310
COUNTY,19125
VILLAGE,19125
SCHOOL,17295
COUNTY,17500
VILLAGE,17500
SCHOOL,15670
COUNTY,17500
VILLAGE,17500
SCHOOL,17500
COUNTY,38725
VILLAGE,38725
SCHOOL,38725
COUNTY,34750
VILLAGE,34750
SCHOOL,34750
COUNTY,14775
VILLAGE,14775
SCHOOL,12945
COUNTY,22450
VILLAGE,22450
SCHOOL,22450
COUNTY,18475
VILLAGE,18475
SCHOOL,16645
COUNTY,18565
VILLAGE,18565
SCHOOL,18565
COUNTY,21900
VILLAGE,21900
SCHOOL,21900
COUNTY,21700
VILLAGE,21700
SCHOOL,19870
COUNTY,20000
VILLAGE,20000
SCHOOL,18170
COUNTY,26200
VILLAGE,26200
SCHOOL,26200
COUNTY,17990
VILLAGE,17990
SCHOOL,17170
COUNTY,17000
VILLAGE,17000
SCHOOL,15170
COUNTY,17650
VILLAGE,17650
SCHOOL,15820
COUNTY,19900
VILLAGE,19900
SCHOOL,18070
COUNTY,26200
VILLAGE,26200
SCHOOL,26200
COUNTY,22050
VILLAGE,22050
SCHOOL,22050
COUNTY,19300
VILLAGE,19300
SCHOOL,17470
COUNTY,17600
VILLAGE,17600
SCHOOL,17600
COUNTY,13500
VILLAGE,13500
SCHOOL,13970
COUNTY,14525
VILLAGE,14525
SCHOOL,12695
COUNTY,20100
VILLAGE,20100
SCHOOL,20100
COUNTY,16550
VILLAGE,16550
SCHOOL,16550
COUNTY,16300
VILLAGE,16300
SCHOOL,14470
COUNTY,15225
VILLAGE,15225
SCHOOL,13395
COUNTY,19550
VILLAGE,19550
SCHOOL,17720
COUNTY,18960
VILLAGE,18960
SCHOOL,17130
COUNTY,32550
VILLAGE,32550
SCHOOL,32550
COUNTY,18450
VILLAGE,18450
SCHOOL,16620
COUNTY,23750
VILLAGE,23750
SCHOOL,23750
COUNTY,22825
VILLAGE,22825
SCHOOL,22825
COUNTY,25225
VILLAGE,25225
SCHOOL,25225
COUNTY,17750
VILLAGE,17750
SCHOOL,13960
COUNTY,14800
VILLAGE,14800
SCHOOL,11010
COUNTY,12000
VILLAGE,12000
SCHOOL,10170
COUNTY,30200
VILLAGE,30200
SCHOOL,30200
COUNTY,25350
VILLAGE,25350
SCHOOL,23520
COUNTY,21925
VILLAGE,21925
SCHOOL,21925
COUNTY,22050
VILLAGE,22050
SCHOOL,20220
COUNTY,27800
VILLAGE,27800
SCHOOL,25970
COUNTY,27900
VILLAGE,27900
SCHOOL,26070
COUNTY,32300
VILLAGE,32300
SCHOOL,32300
COUNTY,25175
VILLAGE,25175
SCHOOL,25175
COUNTY,18800
VILLAGE,18800
SCHOOL,16970
COUNTY,22600
VILLAGE,22600
SCHOOL,20770
COUNTY,29400
VILLAGE,29400
SCHOOL,29400
COUNTY,41100
VILLAGE,41100
SCHOOL,41100
COUNTY,21960
VILLAGE,21960
SCHOOL,20130
COUNTY,19900
VILLAGE,19900
SCHOOL,19900
COUNTY,21100
VILLAGE,21100
SCHOOL,21100
COUNTY,23450
VILLAGE,23450
SCHOOL,23450
COUNTY,14300
VILLAGE,14300
SCHOOL,12470
COUNTY,21875
VILLAGE,21875
SCHOOL,21875
COUNTY,29500
VILLAGE,29500
SCHOOL,27670
COUNTY,23250
VILLAGE,23250
SCHOOL,23250
COUNTY,20275
VILLAGE,20275
SCHOOL,18445
COUNTY,19642
VILLAGE,19642
SCHOOL,21325
COUNTY,17150
VILLAGE,17150
SCHOOL,15320
COUNTY,17400
VILLAGE,17400
SCHOOL,17400
COUNTY,24700
VILLAGE,24700
SCHOOL,24700
COUNTY,14950
VILLAGE,14950
SCHOOL,14950
COUNTY,17850
VILLAGE,17850
SCHOOL,16020
COUNTY,15400
VILLAGE,15400
SCHOOL,15400
COUNTY,16100
VILLAGE,16100
SCHOOL,16100
COUNTY,17150
VILLAGE,17150
SCHOOL,15320
COUNTY,23100
VILLAGE,23100
SCHOOL,21270
COUNTY,27000
VILLAGE,27000
SCHOOL,27000
COUNTY,2800
VILLAGE,2800
SCHOOL,2800
COUNTY,1200
VILLAGE,1200
SCHOOL,1200
COUNTY,23500
VILLAGE,23500
SCHOOL,23500
COUNTY,21050
VILLAGE,21050
SCHOOL,21050
COUNTY,19200
VILLAGE,19200
SCHOOL,19200
COUNTY,1400
VILLAGE,1400
SCHOOL,1400
COUNTY,19750
VILLAGE,19750
SCHOOL,17920
COUNTY,21275
VILLAGE,21275
SCHOOL,19445
COUNTY,16400
VILLAGE,16400
SCHOOL,16400
COUNTY,22700
VILLAGE,22700
SCHOOL,22700
COUNTY,27050
VILLAGE,27050
SCHOOL,27050
COUNTY,22600
VILLAGE,22600
SCHOOL,22600
COUNTY,33175
VILLAGE,33175
SCHOOL,33175
COUNTY,16642
VILLAGE,16642
SCHOOL,18325
COUNTY,15800
VILLAGE,15800
SCHOOL,13970
COUNTY,14200
VILLAGE,14200
SCHOOL,12370
COUNTY,12600
VILLAGE,12600
SCHOOL,10770
COUNTY,19350
VILLAGE,19350
SCHOOL,17520
COUNTY,16600
VILLAGE,16600
SCHOOL,16600
COUNTY,14400
VILLAGE,14400
SCHOOL,14400
COUNTY,20300
VILLAGE,20300
SCHOOL,20300
COUNTY,37925
VILLAGE,37925
SCHOOL,37925
COUNTY,18475
VILLAGE,18475
SCHOOL,16645
COUNTY,16900
VILLAGE,16900
SCHOOL,16900
COUNTY,18825
VILLAGE,18825
SCHOOL,18825
COUNTY,16725
VILLAGE,16725
SCHOOL,14895
COUNTY,17900
VILLAGE,17900
SCHOOL,17900
COUNTY,18650
VILLAGE,18650
SCHOOL,18650
COUNTY,19075
VILLAGE,19075
SCHOOL,17245
COUNTY,20300
VILLAGE,20300
SCHOOL,20300
COUNTY,24450
VILLAGE,24450
SCHOOL,24450
COUNTY,19500
VILLAGE,19500
SCHOOL,17670
COUNTY,21450
VILLAGE,21450
SCHOOL,19620
COUNTY,25200
VILLAGE,25200
SCHOOL,23370
COUNTY,21725
VILLAGE,21725
SCHOOL,21725
COUNTY,21200
VILLAGE,21200
SCHOOL,19370
COUNTY,21700
VILLAGE,21700
SCHOOL,19870
COUNTY,17100
VILLAGE,17100
SCHOOL,15270
COUNTY,24800
VILLAGE,24800
SCHOOL,22970
COUNTY,18100
VILLAGE,18100
SCHOOL,16270
COUNTY,21000
VILLAGE,21000
SCHOOL,19170
COUNTY,17600
VILLAGE,17600
SCHOOL,17600
COUNTY,19600
VILLAGE,19600
SCHOOL,19600
COUNTY,20600
VILLAGE,20600
SCHOOL,18770
COUNTY,21150
VILLAGE,21150
SCHOOL,21150
COUNTY,30000
VILLAGE,30000
SCHOOL,30000
COUNTY,20665
VILLAGE,20665
SCHOOL,19845
COUNTY,15900
VILLAGE,15900
SCHOOL,14070
COUNTY,25025
VILLAGE,25025
SCHOOL,23195
COUNTY,16100
VILLAGE,16100
SCHOOL,16100
COUNTY,18720
VILLAGE,18720
SCHOOL,18720
COUNTY,26150
VILLAGE,26150
SCHOOL,24320
COUNTY,27950
VILLAGE,27950
SCHOOL,26120
COUNTY,28050
VILLAGE,28050
SCHOOL,26220
COUNTY,23165
VILLAGE,23165
SCHOOL,20385
COUNTY,31300
VILLAGE,31300
SCHOOL,31300
COUNTY,26550
VILLAGE,26550
SCHOOL,26550
COUNTY,21650
VILLAGE,21650
SCHOOL,19820
COUNTY,26350
VILLAGE,26350
SCHOOL,26350
COUNTY,43225
VILLAGE,43225
SCHOOL,43225
COUNTY,18850
VILLAGE,18850
SCHOOL,18850
COUNTY,16792
VILLAGE,16792
SCHOOL,16645
COUNTY,15850
VILLAGE,15850
SCHOOL,14020
COUNTY,23150
VILLAGE,23150
SCHOOL,23150
COUNTY,19100
VILLAGE,19100
SCHOOL,19100
COUNTY,21325
VILLAGE,21325
SCHOOL,19495
COUNTY,27100
VILLAGE,27100
SCHOOL,27100
COUNTY,18117
VILLAGE,18117
SCHOOL,19800
COUNTY,23875
VILLAGE,23875
SCHOOL,23875
COUNTY,19500
VILLAGE,19500
SCHOOL,19500
COUNTY,21900
VILLAGE,21900
SCHOOL,21900
COUNTY,19625
VILLAGE,19625
SCHOOL,19625
COUNTY,28450
VILLAGE,28450
SCHOOL,28450
COUNTY,35200
VILLAGE,35200
SCHOOL,35200
COUNTY,20900
VILLAGE,20900
SCHOOL,20900
COUNTY,22700
VILLAGE,22700
SCHOOL,20870
COUNTY,29000
VILLAGE,29000
SCHOOL,29000
COUNTY,21500
VILLAGE,21500
SCHOOL,19670
COUNTY,19350
VILLAGE,19350
SCHOOL,19350
COUNTY,18050
VILLAGE,18050
SCHOOL,16220
COUNTY,21500
VILLAGE,21500
SCHOOL,21500
COUNTY,28475
VILLAGE,28475
SCHOOL,28475
COUNTY,20100
VILLAGE,20100
SCHOOL,20100
COUNTY,18200
VILLAGE,18200
SCHOOL,16370
COUNTY,21090
VILLAGE,21090
SCHOOL,20270
COUNTY,19350
VILLAGE,19350
SCHOOL,19350
COUNTY,27700
VILLAGE,27700
SCHOOL,25870
COUNTY,28175
VILLAGE,28175
SCHOOL,28175
COUNTY,22500
VILLAGE,22500
SCHOOL,22500
COUNTY,30050
VILLAGE,30050
SCHOOL,28220
COUNTY,24500
VILLAGE,24500
SCHOOL,24500
COUNTY,30825
VILLAGE,30825
SCHOOL,28995
COUNTY,34350
VILLAGE,34350
SCHOOL,32520
COUNTY,34150
VILLAGE,34150
SCHOOL,34150
COUNTY,25950
VILLAGE,25950
SCHOOL,25950
COUNTY,15850
VILLAGE,15850
SCHOOL,14020
COUNTY,20675
VILLAGE,20675
SCHOOL,18845
COUNTY,41350
VILLAGE,41350
SCHOOL,41350
COUNTY,17700
VILLAGE,17700
SCHOOL,17700
COUNTY,15800
VILLAGE,15800
SCHOOL,13970
COUNTY,2300
VILLAGE,2300
SCHOOL,2300
COUNTY,2300
VILLAGE,2300
SCHOOL,2300
COUNTY,12225
VILLAGE,12225
SCHOOL,10395
COUNTY,11250
VILLAGE,11250
SCHOOL,9420
COUNTY,17000
VILLAGE,17000
SCHOOL,17000
COUNTY,14025
VILLAGE,14025
SCHOOL,12195
COUNTY,14075
VILLAGE,14075
SCHOOL,12245
COUNTY,31800
VILLAGE,31800
SCHOOL,31800
COUNTY,28875
VILLAGE,28875
SCHOOL,28875
COUNTY,37100
VILLAGE,37100
SCHOOL,37100
COUNTY,41600
VILLAGE,41600
SCHOOL,41600
COUNTY,24900
VILLAGE,24900
SCHOOL,23070
COUNTY,35100
VILLAGE,35100
SCHOOL,33270
COUNTY,26600
VILLAGE,26600
SCHOOL,24770
COUNTY,32550
VILLAGE,32550
SCHOOL,30720
COUNTY,29475
VILLAGE,29475
SCHOOL,29475
COUNTY,1
VILLAGE,1
SCHOOL,1
COUNTY,22125
VILLAGE,22125
SCHOOL,20295
COUNTY,25000
VILLAGE,25000
SCHOOL,23170
COUNTY,25525
VILLAGE,25525
SCHOOL,25525
COUNTY,17650
VILLAGE,17650
SCHOOL,14260
COUNTY,21125
VILLAGE,21125
SCHOOL,19295
COUNTY,14950
VILLAGE,14950
SCHOOL,13120
COUNTY,15850
VILLAGE,15850
SCHOOL,14020
COUNTY,17525
VILLAGE,17525
SCHOOL,15695
COUNTY,19750
VILLAGE,19750
SCHOOL,15960
COUNTY,48625
VILLAGE,48625
SCHOOL,48625
COUNTY,15400
VILLAGE,15400
SCHOOL,13570
COUNTY,1
VILLAGE,1
SCHOOL,1
COUNTY,22500
VILLAGE,22500
SCHOOL,20670
COUNTY,18250
VILLAGE,18250
SCHOOL,16420
COUNTY,21800
VILLAGE,21800
SCHOOL,21800
COUNTY,17175
VILLAGE,17175
SCHOOL,15345
COUNTY,15975
VILLAGE,15975
SCHOOL,15975
COUNTY,20900
VILLAGE,20900
SCHOOL,20900
COUNTY,26400
VILLAGE,26400
SCHOOL,26400
COUNTY,22600
VILLAGE,22600
SCHOOL,18810
COUNTY,25525
VILLAGE,25525
SCHOOL,25525
COUNTY,28400
VILLAGE,28400
SCHOOL,28400
COUNTY,22875
VILLAGE,22875
SCHOOL,22875
COUNTY,22125
VILLAGE,22125
SCHOOL,20295
COUNTY,15775
VILLAGE,15775
SCHOOL,13945
COUNTY,24150
VILLAGE,24150
SCHOOL,24150
COUNTY,30700
VILLAGE,30700
SCHOOL,30700
COUNTY,38725
VILLAGE,38725
SCHOOL,38725
COUNTY,39000
VILLAGE,39000
SCHOOL,37170
COUNTY,20800
VILLAGE,20800
SCHOOL,18970
COUNTY,26400
VILLAGE,26400
SCHOOL,26070
COUNTY,25950
VILLAGE,25950
SCHOOL,25950
COUNTY,29225
VILLAGE,29225
SCHOOL,29225
COUNTY,27550
VILLAGE,27550
SCHOOL,25720
COUNTY,20675
VILLAGE,20675
SCHOOL,20675
COUNTY,34400
VILLAGE,34400
SCHOOL,34400
COUNTY,31500
VILLAGE,31500
SCHOOL,31500
COUNTY,49100
VILLAGE,49100
SCHOOL,49100
COUNTY,22875
VILLAGE,22875
SCHOOL,19085
COUNTY,49050
VILLAGE,49050
SCHOOL,49050
COUNTY,54800
VILLAGE,54800
SCHOOL,54800
COUNTY,30800
VILLAGE,30800
SCHOOL,30800
COUNTY,22900
VILLAGE,22900
SCHOOL,21070
COUNTY,36050
VILLAGE,36050
SCHOOL,34220
COUNTY,36750
VILLAGE,36750
SCHOOL,36750
COUNTY,36350
VILLAGE,36350
SCHOOL,36350
COUNTY,24650
VILLAGE,24650
SCHOOL,24650
COUNTY,33450
VILLAGE,33450
SCHOOL,33450
COUNTY,24700
VILLAGE,24700
SCHOOL,22870
COUNTY,41450
VILLAGE,41450
SCHOOL,41450
COUNTY,32275
VILLAGE,32275
SCHOOL,32275
COUNTY,23625
VILLAGE,23625
SCHOOL,21795
COUNTY,32300
VILLAGE,32300
SCHOOL,32300
COUNTY,30900
VILLAGE,30900
SCHOOL,30900
COUNTY,33300
VILLAGE,33300
SCHOOL,31470
COUNTY,48350
VILLAGE,48350
SCHOOL,48350
COUNTY,33000
VILLAGE,33000
SCHOOL,33000
COUNTY,30975
VILLAGE,30975
SCHOOL,30975
COUNTY,23300
VILLAGE,23300
SCHOOL,23300
COUNTY,6200
VILLAGE,6200
SCHOOL,6200
COUNTY,38700
VILLAGE,38700
SCHOOL,36870
COUNTY,6400
VILLAGE,6400
SCHOOL,6400
COUNTY,27590
VILLAGE,27590
SCHOOL,26770
COUNTY,25250
VILLAGE,25250
SCHOOL,25250
COUNTY,32100
VILLAGE,32100
SCHOOL,32100
COUNTY,36725
VILLAGE,36725
SCHOOL,34895
COUNTY,36675
VILLAGE,36675
SCHOOL,36675
COUNTY,25525
VILLAGE,25525
SCHOOL,23695
COUNTY,27800
VILLAGE,27800
SCHOOL,26270
COUNTY,33000
VILLAGE,33000
SCHOOL,31170
COUNTY,28400
VILLAGE,28400
SCHOOL,28400
COUNTY,34325
VILLAGE,34325
SCHOOL,34325
COUNTY,24817
VILLAGE,24817
SCHOOL,24670
COUNTY,24500
VILLAGE,24500
SCHOOL,22670
COUNTY,31185
VILLAGE,31185
SCHOOL,29355
COUNTY,15900
VILLAGE,15900
SCHOOL,14070
COUNTY,28150
VILLAGE,28150
SCHOOL,26320
COUNTY,22600
VILLAGE,22600
SCHOOL,22600
COUNTY,23400
VILLAGE,23400
SCHOOL,23400
COUNTY,33450
VILLAGE,33450
SCHOOL,33450
COUNTY,25250
VILLAGE,25250
SCHOOL,25250
COUNTY,24975
VILLAGE,24975
SCHOOL,24975
COUNTY,17300
VILLAGE,17300
SCHOOL,15470
COUNTY,21625
VILLAGE,21625
SCHOOL,19795
COUNTY,20500
VILLAGE,20500
SCHOOL,20500
COUNTY,27525
VILLAGE,27525
SCHOOL,27525
COUNTY,13800
VILLAGE,13800
SCHOOL,11970
COUNTY,10400
VILLAGE,10400
SCHOOL,8570
COUNTY,10600
VILLAGE,10600
SCHOOL,11200
COUNTY,2300
VILLAGE,2300
SCHOOL,2300
COUNTY,16100
VILLAGE,16100
SCHOOL,14270
COUNTY,8100
VILLAGE,8100
SCHOOL,8100
COUNTY,16275
VILLAGE,16275
SCHOOL,14445
COUNTY,10825
VILLAGE,10825
SCHOOL,8995
COUNTY,13875
VILLAGE,13875
SCHOOL,12045
COUNTY,15875
VILLAGE,15875
SCHOOL,14045
COUNTY,13975
VILLAGE,13975
SCHOOL,12145
COUNTY,14490
VILLAGE,14490
SCHOOL,13670
COUNTY,11200
VILLAGE,11200
SCHOOL,9370
COUNTY,10550
VILLAGE,10550
SCHOOL,8720
COUNTY,14540
VILLAGE,14540
SCHOOL,13720
COUNTY,11475
VILLAGE,11475
SCHOOL,13145
COUNTY,14000
VILLAGE,14000
SCHOOL,14000
COUNTY,6650
VILLAGE,6650
SCHOOL,6650
COUNTY,11250
VILLAGE,11250
SCHOOL,9420
COUNTY,13900
VILLAGE,13900
SCHOOL,10110
COUNTY,11150
VILLAGE,11150
SCHOOL,11150
COUNTY,11900
VILLAGE,11900
SCHOOL,11900
COUNTY,23700
VILLAGE,23700
SCHOOL,23700
COUNTY,20250
VILLAGE,20250
SCHOOL,18420
COUNTY,12300
VILLAGE,12300
SCHOOL,12300
COUNTY,11450
VILLAGE,11450
SCHOOL,9620
COUNTY,11200
VILLAGE,11200
SCHOOL,11200
COUNTY,10300
VILLAGE,10300
SCHOOL,10300
COUNTY,12500
VILLAGE,12500
SCHOOL,12500
COUNTY,12600
VILLAGE,12600
SCHOOL,12600
COUNTY,12650
VILLAGE,12650
SCHOOL,12650
COUNTY,12925
VILLAGE,12925
SCHOOL,12925
COUNTY,14100
VILLAGE,14100
SCHOOL,12270
COUNTY,12100
VILLAGE,12100
SCHOOL,8310
COUNTY,11800
VILLAGE,11800
SCHOOL,11800
COUNTY,11450
VILLAGE,11450
SCHOOL,9620
COUNTY,13575
VILLAGE,13575
SCHOOL,13575
COUNTY,13025
VILLAGE,13025
SCHOOL,11195
COUNTY,0
VILLAGE,0
SCHOOL,0
COUNTY,16500
VILLAGE,16500
SCHOOL,16500
COUNTY,23750
VILLAGE,23750
SCHOOL,21920
COUNTY,14350
VILLAGE,14350
SCHOOL,14350
COUNTY,10100
VILLAGE,10100
SCHOOL,8270
COUNTY,10475
VILLAGE,10475
SCHOOL,8645
COUNTY,9600
VILLAGE,9600
SCHOOL,7770
COUNTY,14040
VILLAGE,14040
SCHOOL,13220
COUNTY,8825
VILLAGE,8825
SCHOOL,8825
COUNTY,12100
VILLAGE,12100
SCHOOL,12100
COUNTY,1900
VILLAGE,1900
SCHOOL,70
COUNTY,13900
VILLAGE,13900
SCHOOL,12070
COUNTY,2200
VILLAGE,2200
SCHOOL,2200
COUNTY,18700
VILLAGE,18700
SCHOOL,16870
COUNTY,5608
VILLAGE,5608
SCHOOL,2660
COUNTY,11600
VILLAGE,11600
SCHOOL,9770
COUNTY,12800
VILLAGE,12800
SCHOOL,10970
COUNTY,6700
VILLAGE,6700
SCHOOL,9870
COUNTY,5600
VILLAGE,5600
SCHOOL,1810
COUNTY,21325
VILLAGE,21325
SCHOOL,21325
COUNTY,10002
VILLAGE,10002
SCHOOL,10470
COUNTY,3600
VILLAGE,3600
SCHOOL,2810
COUNTY,2100
VILLAGE,2100
SCHOOL,2100
COUNTY,17900
VILLAGE,17900
SCHOOL,16070
COUNTY,11475
VILLAGE,11475
SCHOOL,9645
COUNTY,2300
VILLAGE,2300
SCHOOL,2300
COUNTY,9790
VILLAGE,9790
SCHOOL,7010
COUNTY,15200
VILLAGE,15200
SCHOOL,13370
COUNTY,100
VILLAGE,100
SCHOOL,100
COUNTY,1700
VILLAGE,1700
SCHOOL,1700
COUNTY,4700
VILLAGE,4700
SCHOOL,4700
COUNTY,13970
VILLAGE,13970
SCHOOL,13970
COUNTY,10000
VILLAGE,10000
SCHOOL,8170
COUNTY,12317
VILLAGE,12317
SCHOOL,10210
COUNTY,7600
VILLAGE,7600
SCHOOL,10770
COUNTY,12800
VILLAGE,12800
SCHOOL,9010
COUNTY,12900
VILLAGE,12900
SCHOOL,12900
COUNTY,19350
VILLAGE,19350
SCHOOL,17520
COUNTY,19000
VILLAGE,19000
SCHOOL,17170
COUNTY,16200
VILLAGE,16200
SCHOOL,16200
COUNTY,9600
VILLAGE,9600
SCHOOL,7770
COUNTY,6477
VILLAGE,6477
SCHOOL,7770
COUNTY,8400
VILLAGE,8400
SCHOOL,6570
COUNTY,9600
VILLAGE,9600
SCHOOL,7770
COUNTY,8400
VILLAGE,8400
SCHOOL,6570
COUNTY,18175
VILLAGE,18175
SCHOOL,16345
COUNTY,16025
VILLAGE,16025
SCHOOL,14195
COUNTY,12000
VILLAGE,12000
SCHOOL,10170
COUNTY,9100
VILLAGE,9100
SCHOOL,7270
COUNTY,17500
VILLAGE,17500
SCHOOL,15670
COUNTY,12300
VILLAGE,12300
SCHOOL,10470
COUNTY,9000
VILLAGE,9000
SCHOOL,9000
COUNTY,15825
VILLAGE,15825
SCHOOL,13995
COUNTY,8900
VILLAGE,8900
SCHOOL,8900
COUNTY,12300
VILLAGE,12300
SCHOOL,10470
COUNTY,16200
VILLAGE,16200
