year,budget,assessed valuation (000),property tax rate
2006-2007,tentative,
2007-2008,adopted,
2008-2009,adopted,
2009-2010,tentative,
2009-2010,adopted,
2010-2011,tentative,
2011-2012,tentative,
2011-2012,adopted,139397,229.09
2012-2013,tentative,138806,241.68
2012-2013,adopted,138806,238.42
